upset,5,74.510,28.060
shoes,5,74.160,24.070
group,5,73.760,25.000
truck,5,72.860,18.540
teach,5,72.840,25.630
green,5,72.470,22.750
loves,5,72.450,27.400
crime,5,71.240,21.240
wrote,5,71.160,24.090
mommy,5,70.920,15.840
favor,5,70.760,28.250
force,5,70.670,23.660
prove,5,70.390,26.960
field,5,70.200,22.880
spent,5,70.080,30.150
feels,5,69.980,29.420
named,5,69.880,28.120
saved,5,69.760,27.890
peace,5,69.610,22.260
Bobby,5,69.550,6.890
share,5,69.510,27.970
Steve,5,69.410,6.820
moved,5,69.330,28.540
Paris,5,69.240,10.710
Billy,5,69.120,8.190
using,5,69.020,29.960
books,5,67.760,21.260
rules,5,67.410,23.030
dying,5,66.980,24.850
stuck,5,66.650,27.560
round,5,66.530,22.590
dirty,5,66.450,24.560
idiot,5,66.220,25.600
space,5,66.060,19.960
lived,5,66.040,26.570
carry,5,65.900,26.000
James,5,65.840,11.330
smoke,5,65.430,22.450
knock,5,64.690,24.890
agree,5,64.670,26.990
gives,5,64.510,28.230
south,5,64.470,20.180
board,5,64.160,20.050
north,5,63.880,19.270
awful,5,63.410,24.940
grand,5,63.020,19.240
laugh,5,62.860,23.030
doubt,5,62.840,25.810
twice,5,62.570,27.270
whose,5,62.490,27.090
OUTTA,5,62.450,14.380
Jerry,5,62.220,6.800
fired,5,61.940,19.380
glass,5,60.710,21.950
press,5,60.200,20.060
brown,5,60.120,15.380
admit,5,59.200,25.330
extra,5,59.160,24.680
angry,5,58.980,22.220
bunch,5,58.880,25.100
blame,5,58.780,25.100
pants,5,58.750,21.100
visit,5,58.690,24.930
clock,5,58.630,19.540
guard,5,58.200,18.710
smile,5,58.000,21.160
often,5,57.350,24.050
silly,5,57.100,22.000
begin,5,56.980,24.000
reach,5,56.920,23.760
beach,5,56.630,15.390
Larry,5,56.630,5.670
Kelly,5,56.390,5.530
worst,5,56.350,24.880
plans,5,56.220,22.450
bucks,5,56.200,19.030
track,5,55.750,21.130
river,5,55.470,14.440
raise,5,55.200,22.320
cross,5,55.040,20.270
queen,5,54.690,14.160
fresh,5,54.510,23.280
names,5,53.840,21.380
price,5,53.370,19.600
steal,5,53.330,21.230
waste,5,53.250,23.370
stole,5,53.160,20.330
magic,5,52.690,14.580
keeps,5,52.570,24.330
tells,5,52.250,23.620
treat,5,51.880,21.880
level,5,51.630,18.960
taste,5,51.310,21.760
tight,5,50.920,21.610
turns,5,50.040,22.630
Roger,5,49.800,8.110
final,5,49.670,20.410
match,5,49.430,18.560
trial,5,49.370,11.440
chair,5,49.240,18.510
study,5,49.040,16.920
above,5,48.880,21.200
cream,5,48.710,16.030
enemy,5,48.510,14.650
drugs,5,48.310,14.450
Tommy,5,48.220,5.520
build,5,48.080,18.380
cards,5,48.020,16.130
teeth,5,47.840,19.380
coach,5,47.630,7.140
heavy,5,47.290,20.120
trick,5,47.270,18.190
empty,5,47.240,21.030
apart,5,47.020,21.710
knife,5,46.800,14.960
Santa,5,46.690,7.640
shirt,5,46.370,16.690
faith,5,46.330,14.540
stars,5,46.140,15.520
blind,5,45.820,16.130
stage,5,45.570,14.020
sight,5,45.310,19.990
nurse,5,44.980,13.100
games,5,44.840,17.180
allow,5,44.370,19.790
Madam,5,44.000,8.040
Sarah,5,43.140,4.670
heads,5,42.690,18.590
kinda,5,42.410,14.370
grace,5,42.290,8.920
older,5,41.860,17.910
loose,5,41.780,17.980
local,5,41.730,17.860
shame,5,41.570,18.110
shows,5,41.510,19.130
large,5,41.450,17.640
devil,5,41.330,13.970
video,5,41.270,12.970
speed,5,41.250,15.020
built,5,41.160,17.240
chest,5,40.980,14.030
threw,5,40.820,18.500
stone,5,40.630,11.180
block,5,40.530,15.710
Vegas,5,40.270,7.010
balls,5,40.160,13.600
guest,5,39.940,16.460
cares,5,39.670,18.540
shake,5,39.630,15.450
color,5,39.430,16.290
naked,5,39.250,14.510
merry,5,39.100,5.570
ideas,5,38.960,16.110
spoke,5,38.630,17.940
lines,5,38.430,16.070
split,5,38.310,16.760
serve,5,37.940,16.230
sugar,5,37.760,13.660
Helen,5,37.710,4.410
total,5,37.650,16.800
screw,5,37.490,15.980
hurts,5,37.390,16.430
rough,5,37.390,17.270
crowd,5,37.370,14.660
usual,5,37.240,17.580
paint,5,36.800,12.220
freak,5,36.750,14.280
spell,5,36.650,10.540
ghost,5,36.590,9.110
smith,5,36.390,5.780
cheap,5,36.240,15.550
Susan,5,35.980,4.400
truly,5,35.880,16.000
candy,5,35.780,10.750
legal,5,35.710,14.310
Scott,5,35.710,4.520
aware,5,35.650,16.170
Jason,5,35.610,3.650
Brian,5,35.550,4.700
radar,5,35.510,5.630
slept,5,35.490,15.020
trade,5,35.200,13.420
bless,5,35.060,13.290
noise,5,34.880,14.930
fancy,5,34.840,14.700
Annie,5,34.690,2.780
doors,5,34.410,14.070
proof,5,34.390,13.250
issue,5,34.140,14.160
among,5,33.900,15.180
crane,5,33.610,3.790
scare,5,33.570,15.030
pizza,5,33.510,10.030
toast,5,33.470,13.160
fella,5,33.430,11.090
hired,5,33.000,13.640
crack,5,32.840,14.210
chase,5,32.800,11.250
grant,5,32.550,8.420
began,5,32.510,13.050
fixed,5,32.290,14.350
model,5,32.060,11.710
staff,5,32.000,11.770
brave,5,31.710,13.250
mayor,5,31.270,6.060
demon,5,31.240,4.580
Jones,5,30.960,5.330
storm,5,30.860,9.850
spare,5,30.840,14.140
trees,5,30.690,11.600
bones,5,30.610,9.640
piper,5,30.470,2.030
score,5,30.430,11.650
ocean,5,30.290,10.280
shape,5,30.240,14.180
style,5,30.080,13.190
rings,5,29.880,9.670
alarm,5,29.840,10.710
plays,5,29.820,11.840
enter,5,29.730,12.640
punch,5,29.690,11.240
ended,5,29.630,14.470
parts,5,29.430,12.670
focus,5,29.390,12.790
grade,5,29.270,11.840
finds,5,29.250,14.620
woods,5,29.060,8.820
exist,5,28.960,12.510
drove,5,28.860,13.130
shock,5,28.780,12.940
carol,5,28.730,4.120
crash,5,28.650,10.630
Laura,5,28.390,2.600
shots,5,28.370,11.340
bread,5,28.330,10.750
hated,5,28.220,12.470
cases,5,28.160,11.550
below,5,28.040,11.750
Texas,5,28.020,6.060
moves,5,27.840,12.720
lower,5,27.780,12.580
pride,5,27.670,11.160
witch,5,27.650,5.660
plant,5,27.610,9.910
birth,5,27.550,11.300
